,Rainbow,No Double,No Dueling,No PER,No Noisy,No Distributional,No N-steps,DQN,Double,Dueling,PER, Noisy,Distributional,N-steps
811,0.287804878048781,0.378048780487805,0.280487804878049,0.312195121951219,0.29390243902439,0.297560975609756,0.264634146341463,0.132926829268293,0.196341463414634,0.278048780487805,0.175609756097561,0.369512195121951,0.081707317073171,0.198780487804878
820,0.290711700844391,0.369119420989143,0.283474065138721,0.313630880579011,0.288299155609168,0.293124246079614,0.264173703256936,0.130277442702051,0.197828709288299,0.281061519903498,0.173703256936068,0.371531966224367,0.086851628468034,0.199034981905911
829,0.298329355608592,0.371121718377088,0.276849642004773,0.318615751789976,0.29236276849642,0.294749403341289,0.262529832935561,0.130071599045346,0.194510739856802,0.282816229116945,0.173031026252983,0.366348448687351,0.085918854415275,0.198090692124105
838,0.298701298701299,0.368358913813459,0.276269185360094,0.321133412042503,0.295159386068477,0.297520661157025,0.264462809917355,0.134592680047225,0.198347107438017,0.284533648170012,0.17827626918536,0.368358913813459,0.082644628099174,0.198347107438017
847,0.301401869158878,0.366822429906542,0.272196261682243,0.322429906542056,0.297897196261682,0.296728971962617,0.26518691588785,0.134345794392523,0.19392523364486,0.286214953271028,0.176401869158878,0.372663551401869,0.08177570093458,0.198598130841121
856,0.302890173410405,0.366473988439306,0.272832369942196,0.323699421965318,0.292485549132948,0.290173410404624,0.265895953757225,0.13757225433526,0.194219653179191,0.282080924855491,0.173410404624277,0.366473988439306,0.078612716763006,0.201156069364162
865,0.302059496567506,0.361556064073227,0.278032036613272,0.327231121281465,0.299771167048055,0.294050343249428,0.264302059496567,0.14187643020595,0.191075514874142,0.284897025171625,0.172768878718535,0.37070938215103,0.082379862700229,0.195652173913043
874,0.30237825594564,0.361268403171008,0.279728199320498,0.330690826727067,0.300113250283126,0.286523216308041,0.263873159682899,0.138165345413364,0.187995469988675,0.278595696489241,0.169875424688562,0.36806342015855,0.080407701019253,0.199320498301246
883,0.303811659192825,0.359865470852018,0.281390134529148,0.32847533632287,0.302690582959641,0.288116591928251,0.26457399103139,0.14237668161435,0.193946188340807,0.275784753363229,0.164798206278027,0.364349775784753,0.081838565022422,0.202914798206278
892,0.307436182019978,0.360710321864595,0.281908990011099,0.330743618201998,0.298557158712542,0.281908990011099,0.267480577136515,0.147613762486127,0.193118756936737,0.277469478357381,0.165371809100999,0.362930077691454,0.079911209766926,0.207547169811321
